Year,Species,MS,UL,JS,BF,FF,RF,CL,FL,
2013,Fagus sylvatica (Hardegsen)* (Germany),,143,,,,,315,351,
2013,Quercus robur (Wolfgang)* (Germany),,129,205,,,261,282,329,
2013,Tilia cordata* (Germany),,123,,,,,282,323,
2013,Ribes alpinum* (Austria),,85,,115,119,,266,315,
2013,Salix aurita* (Germany),,129,,119,129,,323,344,
2013,Salix acutifolia* (Germany),,119,,85,115,,261,308,
2013,Salix smithiana* (Germany),,109,,85,115,,323,337,
2013,Salix viminalis* (Germany),,109,,119,109,,315,329,
2013,Sambucus nigra* (Germany),,,,,,,,,
2013,Corylus avellana*,,85,,,,,261,318,
2013,Forsythia suspensa," ""Fortunei""*",,119,,85,109,,282,337
2013,Syringa x chinensis," ""Red Rothomagensis""*",,109,,,,,308,323
2014,Larix decidua* (Germany),,,,,,,,,
2014,Picea abies (early)* (Germany),118,,,,,,,,
2014,Picea abies (late)* (Germany),118,,,,,,,,
2014,Betula pubescens* (Germany),,100,,,,,274,300,
2014,Fagus sylvatica (Hardegsen)* (Germany),,118,,,,266,274,330,
2014,Fagus sylvatica (Düdelsheim) (Germany),,121,,,,,268,300,
2014,Populus tremula* (Germany),,104,,,,,252,300,
2014,Prunus avium (Bovenden)* (Germany),,79,,92,100,183,268,330,
2014,Quercus robur (Wolfgang)* (Germany),,118,183,,,252,289,330,
2014,Sorbus aucuparia* (Czech Rep.),,100,,132,135,,244,268,
2014,Tilia cordata* (Germany),,121,,,,,,289,
2014,Ribes alpinum* (Austria),,63,,85,92,,268,300,
2014,Salix aurita* (Germany),,135,,104,118,,289,345,
2014,Salix acutifolia* (Germany),,85,,63,90,,289,330,
2014,Salix smithiana* (Germany),,90,,63,77,,289,330,
2014,Salix viminalis* (Germany),,77,,63,77,,274,330,
2014,Sambucus nigra* (Germany),,,,,,,,,
2014,Corylus avellana*,,77,,13,21,239,244,300,
2014,Forsythia suspensa," ""Fortunei""*",,92,,69,90,,268,300
2014,Syringa x chinensis," ""Red Rothomagensis""*",,63,,,,,,
2015,Larix decidua* (Germany),,,,,,,,,
2015,Picea abies (early)* (Germany),118,,,,,,,,
2015,Picea abies (late)* (Germany),118,,,,,,,,
2015,Betula pubescens* (Germany),,97,,,,,285,300,
2015,Fagus sylvatica (Hardegsen)* (Germany),,118,,,,,285,331,
2015,Fagus sylvatica (Düdelsheim) (Germany),,118,,,,,285,331,
2015,Populus tremula* (Germany),,118,,,,,285,306,
2015,Prunus avium (Bovenden)* (Germany),,97,,112,118,,285,300,
2015,Quercus robur (Wolfgang)* (Germany),,118,165,,,,285,331,
2015,Sorbus aucuparia* (Czech Rep.),,118,,132,138,,275,285,
2015,Tilia cordata* (Germany),,118,,,,,285,300,
2015,Ribes alpinum* (Austria),,71,,97,118,,285,300,
2015,Salix aurita* (Germany),,132,,118,125,,285,331,
2015,Salix acutifolia* (Germany),,118,,48,89,,285,331,
2015,Salix smithiana* (Germany),,118,,48,61,,285,330,
2015,Salix viminalis* (Germany),,97,,48,61,,285,331,
2015,Sambucus nigra* (Germany),,,,,,,,,
2015,Corylus avellana*,,97,,71,78,,285,322,
2015,Forsythia suspensa," ""Fortunei""*",,118,,71,97,,285,314
2015,Syringa x chinensis," ""Red",,,,,,,,
